Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,To Grade
2012-03-16,26.97559398948083,27.008381849142822,26.639526245001402,26.721492767333984,65626400.0,0.0,0.0,5.0
2012-03-19,26.6723139034303,26.7296910939947,26.35264009119369,26.39362335205078,44789200.0,0.0,0.0,5.0
2012-03-20,26.311658176578526,26.352644571225802,26.016575208737855,26.221494674682617,41566800.0,0.0,0.0,5.0
2012-03-21,26.19689756474801,26.3526383231071,26.08214319131847,26.155914306640625,37928600.0,0.0,0.0,5.0
2012-03-22,26.073955118399,26.303465506933662,26.057562747612792,26.229694366455078,31749500.0,0.0,0.0,4.0
2012-03-23,26.31165947262846,26.319858002690918,26.000182556950843,26.23788833618164,35912200.0,0.0,0.0,4.0
2012-03-26,26.38543020493563,26.729696545355438,26.352645465657133,26.713302612304688,36758300.0,0.0,0.0,4.0
2012-03-27,26.762475178645776,26.8034584337223,26.557555776441202,26.655916213989258,36274900.0,0.0,0.0,4.0
2012-03-28,26.655922652091807,26.803464907460167,26.26247768005041,26.385427474975586,41344800.0,0.0,0.0,4.0
2012-03-29,26.27887384932289,26.385429721967835,26.073952816762418,26.328052520751953,37038500.0,0.0,0.0,4.0
2012-03-30,26.55756568582942,26.565761089173893,26.262481136258835,26.442808151245117,31749400.0,0.0,0.0,4.0
2012-04-02,26.41001858906611,26.606739501646857,26.188705217295873,26.467395782470703,35853600.0,0.0,0.0,4.0
2012-04-03,26.36083812179306,26.38542745539531,25.950999218701238,26.180509567260742,42752100.0,0.0,0.0,5.0
2012-04-04,25.95099748979398,25.97558838516928,25.45099356104159,25.582141876220703,49455900.0,0.0,0.0,5.0
2012-04-05,25.532963109793393,25.926408077842357,25.450995017263693,25.836244583129883,50368600.0,0.0,0.0,5.0
2012-04-09,25.590341973063616,25.737884236548986,25.385422510092027,25.491981506347656,31056400.0,0.0,0.0,5.0
2012-04-10,25.459194096473315,25.565753094631823,24.83623873030587,24.975584030151367,54131300.0,0.0,0.0,5.0
2012-04-11,24.942798136363663,25.02476623703879,24.778861935013413,24.87722396850586,43014000.0,0.0,0.0,5.0
2012-04-12,24.98378248698877,25.442803245284072,24.9346022498184,25.39362144470215,38304000.0,0.0,0.0,5.0
2012-04-13,25.319848534392428,25.541161931280474,25.180503235990116,25.254274368286133,39749200.0,0.0,0.0,5.0
2012-04-16,25.401814810496486,25.56575099570681,25.221486257494192,25.4755859375,38124800.0,0.0,0.0,5.0
2012-04-17,25.631320857406575,25.910011387466472,25.57394367123149,25.770666122436523,34361500.0,0.0,0.0,5.0
2012-04-18,25.639520964476237,25.66411029675906,25.44279848915734,25.524765014648438,40552900.0,0.0,0.0,5.0
2012-04-19,25.516571452347694,25.967395219727592,25.360833782416183,25.418210983276367,54781200.0,0.0,0.0,5.0
2012-04-20,26.35265093289292,26.95921094749534,26.270681250633363,26.57396125793457,106045000.0,0.0,0.0,4.6
2012-04-23,26.48379331847188,26.63953098936885,26.2542813867854,26.328052520751953,61398200.0,0.0,0.0,4.6
2012-04-24,26.40181973435541,26.655920964025345,26.090342875400683,26.164113998413086,40871100.0,0.0,0.0,4.6
2012-04-25,26.164113026382,26.491983803472266,26.123129765524915,26.39362335205078,62495500.0,0.0,0.0,4.6
2012-04-26,26.328050138550452,26.41821519710941,26.164115516111195,26.319854736328125,40308100.0,0.0,0.0,4.6
2012-04-27,26.328047455917517,26.410017103902046,26.13132499098817,26.213293075561523,41419100.0,0.0,0.0,4.6
2012-04-30,26.21329444500148,26.31985342953707,26.164114217052653,26.246082305908203,35697200.0,0.0,0.0,4.6
2012-05-01,26.27067620278535,26.508383545427673,26.18870966309913,26.23788833618164,43832300.0,0.0,0.0,4.6
2012-05-02,26.10673685528768,26.17231101326641,25.934603713461488,26.065752029418945,37385300.0,0.0,0.0,4.6
2012-05-03,26.131327072363085,26.147721003265776,25.910015258821943,26.03296661376953,31501300.0,0.0,0.0,4.6
2012-05-04,25.778871065536116,25.87723153987686,25.344441207531776,25.39362144470215,57927200.0,0.0,0.0,4.6
2012-05-07,25.164102263835975,25.295250551211165,25.05754330321182,25.123117446899414,48641400.0,0.0,0.0,4.6
2012-05-08,24.983783449264116,25.229687771410326,24.72968372345015,25.00017738342285,46328300.0,0.0,0.0,4.6
2012-05-09,24.746073166024527,25.27066645659386,24.6723020391118,25.213289260864258,50309300.0,0.0,0.0,4.6
2012-05-10,25.295265283283094,25.426413647039656,24.959197405730425,25.196903228759766,43839200.0,0.0,0.0,4.6
2012-05-11,25.15591069479792,25.852637098014103,25.15591069479792,25.54115867614746,43459300.0,0.0,0.0,4.6
2012-05-14,25.262469004115697,25.44279911683188,25.11492675313384,25.147714614868164,40528900.0,0.0,0.0,4.6
2012-05-15,25.279724100781763,25.411732980655035,24.875446709461112,24.924949645996094,61822800.0,0.2,0.0,4.6
2012-05-16,25.0074528304467,25.01570358123728,24.53717105107213,24.669179916381836,60083700.0,0.0,0.0,4.6
2012-05-17,24.743435490991764,24.924947290244653,24.512419186212774,24.52066993713379,48484000.0,0.0,0.0,4.6
2012-05-18,24.578428466719238,24.594928397088758,24.06689285718318,24.149398803710938,56205300.0,0.0,0.0,4.6
2012-05-21,24.00913725839084,24.578426513146365,23.97613425293491,24.54542350769043,38787900.0,0.0,0.0,4.6
2012-05-22,24.49591910810356,24.652678653633888,24.339157988903413,24.553672790527344,39504900.0,0.0,0.0,4.6
2012-05-23,24.215404542901926,24.256656731539785,23.62961370748957,24.017391204833984,65171000.0,0.0,0.0,4.6
2012-05-24,24.05863589739406,24.174143248526917,23.72861377010758,23.9843807220459,52575000.0,0.0,0.0,4.6
2012-05-25,24.091644204154445,24.22365308414954,23.934883069034026,23.97613525390625,29507200.0,0.0,0.0,4.6
2012-05-29,24.240150065559586,24.520669294847018,24.10814120162077,24.388660430908203,37758800.0,0.0,0.0,4.6
2012-05-30,24.215402164615128,24.322658788741553,24.025639597646084,24.207151412963867,41585500.0,0.0,0.0,4.6
2012-05-31,24.17414821703698,24.27315566240673,23.877129028267642,24.083393096923828,39134000.0,0.0,0.0,4.6
2012-06-01,23.728625507407887,23.893635865838235,23.464607674982997,23.472858428955078,56634300.0,0.0,0.0,4.6
